date,day,weight,avg. weight,calories,avg. calories,note
1/30/2017,Monday,190,,1626,,Recently returned from vacation.  Gained some weight...
1/31/2017,Tuesday,185,,1400,,
2/1/2017,Wednesday,183.6,,1621,,
2/2/2017,Thursday,182.8,,2335,,
2/3/2017,Friday,182.6,184.8,2080,1812.4,
2/4/2017,Saturday,182.6,,3500,,"Superbowl weekend, lots of food"
2/5/2017,Sunday,183,184.2,4000,2366.0,
2/6/2017,Monday,184.8,,1707,,
2/7/2017,Tuesday,181.8,,1927,,
2/8/2017,Wednesday,181.2,,1735,,
2/9/2017,Thursday,180.2,,1948,,
2/10/2017,Friday,180,181.6,2398,1943,
2/11/2017,Saturday,179.6,,1807,,
2/12/2017,Sunday,181,181.2,1953,1925.0,
2/13/2017,Monday,178.6,,2282,,
2/14/2017,Tuesday,177.8,,2861,,Valentine's day cheat meal
2/15/2017,Wednesday,178.2,,2024,,
2/16/2017,Thursday,178,,1718,,
2/17/2017,Friday,177.6,178.7,1718,2120.6,
2/18/2017,Saturday,177.8,,2846,,
2/19/2017,Sunday,178.8,178.1,2043,2213.1,
2/20/2017,Monday,177.8,,,,
2/21/2017,Tuesday,,,,,
2/22/2017,Wednesday,,,,,
2/23/2017,Thursday,,,,,
2/24/2017,Friday,,76.3,,0,
2/25/2017,Saturday,,,,,
2/26/2017,Sunday,,25.4,,0.0,
2/27/2017,Monday,,,,,